spec,outcome,term,coef,se,z,p_value,r2,n_obs,n_events,include_relief
spec_b_any_relief,upgrade_any,region_SOUTH__SOUTH,-0.05130692156749084,0.09594384537403068,-0.534759904269776,0.5928158921974012,0.1264413582221997,1800,215,1
spec_b_any_relief,upgrade_any,region_SOUTH__SOUTH CENTRAL,-0.1111129167292002,0.1159362003811571,-0.9583970870521922,0.33786256354653377,0.1264413582221997,1800,215,1
spec_b_any_relief,upgrade_any,region_UNKNOWN,-0.27141319444944223,0.08329258065205988,-3.25855187010261,0.0011198240295089423,0.1264413582221997,1800,215,1
spec_b_any_relief,upgrade_any,region_WEST__WEST,-0.291107295161376,0.0796807848602164,-3.653419022817911,0.00025877142271601983,0.1264413582221997,1800,215,1
spec_b_any_relief,upgrade_any,year_2020,0.01866265975635284,0.022195868514975414,0.84081682785971,0.4004505583858442,0.1264413582221997,1800,215,1
spec_b_any_relief,upgrade_any,year_2021,0.02085383441032257,0.02140900947871887,0.974068157195775,0.3300226988632611,0.1264413582221997,1800,215,1
spec_b_any_relief,upgrade_any,year_2022,0.017438351064968938,0.025133403726483053,0.6938316534737456,0.4877877894073339,0.1264413582221997,1800,215,1
spec_b_any_relief,upgrade_any,year_2023,-0.03441156917901905,0.022040809839372393,-1.5612660981970032,0.11846097907293296,0.1264413582221997,1800,215,1
spec_b_any_relief,upgrade_any,year_2024,0.09292237383519886,0.02644608255175218,3.5136536253851443,0.0004419887482258744,0.1264413582221997,1800,215,1
spec_c_station_relief,upgrade_station,const,0.2962764576271222,0.11496755959579852,2.57704398239614,0.009964927017528824,0.1227418257693651,1800,210,1
spec_c_station_relief,upgrade_station,lagged_binding_share,-0.02680265757710166,0.04140002723478868,-0.6474067619593069,0.5173687207123003,0.1227418257693651,1800,210,1
spec_c_station_relief,upgrade_station,log_avg_length_km,-0.002484558127041351,0.019651089712778316,-0.12643360563489475,0.8993887021373399,0.1227418257693651,1800,210,1
spec_c_station_relief,upgrade_station,log_n_lines,0.03750302322745408,0.01886215168860941,1.9882685627060053,0.046781995702096735,0.1227418257693651,1800,210,1
spec_c_station_relief,upgrade_station,has_promoted_lines,-0.012694610571644158,0.02505078731545188,-0.5067549539177094,0.612326766645251,0.1227418257693651,1800,210,1
spec_c_station_relief,upgrade_station,relief_stress,-0.09755817331194017,0.11926516544974806,-0.8179938621981448,0.4133606920133306,0.1227418257693651,1800,210,1
spec_c_station_relief,upgrade_station,voltage_below_345,-0.035930714178344314,0.029941980901248253,-1.2000112583348284,0.23013496804970002,0.1227418257693651,1800,210,1
spec_c_station_relief,upgrade_station,region_COAST__SOUTH,-0.2927776405976037,0.08060316279924538,-3.6323343951999947,0.0002808688252795566,0.1227418257693651,1800,210,1
spec_c_station_relief,upgrade_station,region_COAST__SOUTH CENTRAL,-0.19256687859322108,0.11062664815149574,-1.7406916128337697,0.08173764923150895,0.1227418257693651,1800,210,1
spec_c_station_relief,upgrade_station,region_EAST__EAST,-0.3106651429877234,0.08129837716142456,-3.8212957482641063,0.00013275233659593155,0.1227418257693651,1800,210,1
spec_c_station_relief,upgrade_station,region_EAST__NORTH,-0.3309479483073148,0.08616337580877159,-3.840935260496417,0.00012256643885311114,0.1227418257693651,1800,210,1
spec_c_station_relief,upgrade_station,region_EAST__NORTH CENTRAL,-0.3112625195166805,0.07841543546486532,-3.9694036980275933,7.205271968757643e-05,0.1227418257693651,1800,210,1
spec_c_station_relief,upgrade_station,region_EAST__SOUTH CENTRAL,-0.2789409164108656,0.07594560391192426,-3.6729040529371435,0.0002398095430460323,0.1227418257693651,1800,210,1
spec_c_station_relief,upgrade_station,region_FAR WEST__FAR WEST,0.024921982115767793,0.10021498802213055,0.24868517781256685,0.803604315111557,0.1227418257693651,1800,210,1
spec_c_station_relief,upgrade_station,region_FAR WEST__WEST,-0.09518792717981861,0.09225622795305999,-1.03177779204511,0.30217622510286546,0.1227418257693651,1800,210,1
spec_c_station_relief,upgrade_station,region_NORTH CENTRAL__NORTH CENTRAL,-0.18530651581413027,0.08066177197330895,-2.29732760985524,0.02160008790542789,0.1227418257693651,1800,210,1
spec_c_station_relief,upgrade_station,region_NORTH CENTRAL__SOUTH CENTRAL,-0.17027546900385127,0.09536408346740616,-1.785530388514126,0.07417532674895333,0.1227418257693651,1800,210,1
spec_c_station_relief,upgrade_station,region_NORTH CENTRAL__WEST,-0.31454885018417333,0.08041914831682778,-3.9113675880393983,9.17749673727819e-05,0.1227418257693651,1800,210,1
spec_c_station_relief,upgrade_station,region_NORTH__NORTH,-0.27658630260558503,0.08124418715969493,-3.404382667549155,0.0006631378252393016,0.1227418257693651,1800,210,1
spec_c_station_relief,upgrade_station,region_NORTH__NORTH CENTRAL,-0.1694994505323677,0.10049806838217372,-1.6865941133096782,0.09168142466504703,0.1227418257693651,1800,210,1
spec_c_station_relief,upgrade_station,region_NORTH__WEST,-0.29268361012294153,0.0863911167882925,-3.3878901095836422,0.0007043247715099454,0.1227418257693651,1800,210,1
spec_c_station_relief,upgrade_station,region_SOUTH CENTRAL__SOUTH CENTRAL,-0.013003079776410909,0.0941774278311104,-0.1380700245894324,0.8901850757600325,0.1227418257693651,1800,210,1
spec_c_station_relief,upgrade_station,region_SOUTH CENTRAL__WEST,-0.30741758015603216,0.07789207524966921,-3.9467118981059333,7.923180094615567e-05,0.1227418257693651,1800,210,1
spec_c_station_relief,upgrade_station,region_SOUTH__SOUTH,-0.04967759119791837,0.09591926933825115,-0.5179104421942016,0.6045207560556483,0.1227418257693651,1800,210,1
spec_c_station_relief,upgrade_station,region_SOUTH__SOUTH CENTRAL,-0.1364241227897256,0.10596506010378857,-1.2874443958801476,0.19793943859760454,0.1227418257693651,1800,210,1
spec_c_station_relief,upgrade_station,region_UNKNOWN,-0.26840253547351356,0.08329666954677917,-3.2222481034824506,0.0012718894768040112,0.1227418257693651,1800,210,1
spec_c_station_relief,upgrade_station,region_WEST__WEST,-0.2899707273562633,0.07972941852377918,-3.6369351830877825,0.00027590132257837574,0.1227418257693651,1800,210,1
spec_c_station_relief,upgrade_station,year_2020,0.02172219036527656,0.02195809780059048,0.9892564721472561,0.3225376748428075,0.1227418257693651,1800,210,1
spec_c_station_relief,upgrade_station,year_2021,0.020279454698440447,0.02138516195934205,0.9482955863040085,0.3429789971923658,0.1227418257693651,1800,210,1
spec_c_station_relief,upgrade_station,year_2022,0.019294065788311165,0.025057871261285353,0.7699802424206991,0.44131161276323305,0.1227418257693651,1800,210,1
spec_c_station_relief,upgrade_station,year_2023,-0.03609267674264749,0.02184102778019646,-1.6525173222559235,0.09842913686147603,0.1227418257693651,1800,210,1
spec_c_station_relief,upgrade_station,year_2024,0.08827365247399588,0.02640013164016979,3.343682284511069,0.0008267436022453278,0.1227418257693651,1800,210,1
spec_d_line_relief,upgrade_line,const,-0.00493940756471814,0.017922517164447142,-0.2755978705109811,0.7828569454336243,0.01790358018918181,1800,16,1
spec_d_line_relief,upgrade_line,lagged_binding_share,-0.018692319048637246,0.009248476364665558,-2.021124162683979,0.04326691365970148,0.01790358018918181,1800,16,1
spec_d_line_relief,upgrade_line,log_avg_length_km,0.004872448492403035,0.003966642972078121,1.2283556969208052,0.21931347121119682,0.01790358018918181,1800,16,1
spec_d_line_relief,upgrade_line,log_n_lines,0.005598887558724425,0.004858593500945432,1.1523679759656655,0.24916989467055006,0.01790358018918181,1800,16,1
spec_d_line_relief,upgrade_line,has_promoted_lines,-0.002609114418889313,0.004762281725570151,-0.5478706572272232,0.5837807180623951,0.01790358018918181,1800,16,1
spec_d_line_relief,upgrade_line,relief_stress,-0.01596448157091146,0.0282908316512279,-0.5642987723981793,0.5725508167452997,0.01790358018918181,1800,16,1
spec_d_line_relief,upgrade_line,voltage_below_345,0.0009638414560504925,0.00926235950308681,0.10406003521341177,0.917121705900481,0.01790358018918181,1800,16,1
spec_d_line_relief,upgrade_line,region_COAST__SOUTH,-0.015974781776714575,0.011719415806419593,-1.3631039328738557,0.1728497574807779,0.01790358018918181,1800,16,1
spec_d_line_relief,upgrade_line,region_COAST__SOUTH CENTRAL,-0.017466430499370078,0.011295795520909669,-1.5462771494967251,0.1220376481163481,0.01790358018918181,1800,16,1
spec_d_line_relief,upgrade_line,region_EAST__EAST,-0.017871915991981055,0.01160696722713358,-1.5397575992290147,0.12361945087069914,0.01790358018918181,1800,16,1
spec_d_line_relief,upgrade_line,region_EAST__NORTH,-0.017826823794776098,0.01247209067296626,-1.429337250844113,0.15290732426387055,0.01790358018918181,1800,16,1
spec_d_line_relief,upgrade_line,region_EAST__NORTH CENTRAL,-0.017909227568209868,0.011468806216590029,-1.5615598720556936,0.1183917089504174,0.01790358018918181,1800,16,1
spec_d_line_relief,upgrade_line,region_EAST__SOUTH CENTRAL,-0.013668678777674095,0.011547349393238836,-1.183707040654484,0.2365290509550344,0.01790358018918181,1800,16,1
spec_d_line_relief,upgrade_line,region_FAR WEST__FAR WEST,-0.01931725192534564,0.011784475627275798,-1.6392118356658,0.10116914974458946,0.01790358018918181,1800,16,1
spec_d_line_relief,upgrade_line,region_FAR WEST__WEST,0.03694926473854891,0.045009134825736076,0.8209281267370961,0.4116872088051202,0.01790358018918181,1800,16,1
spec_d_line_relief,upgrade_line,region_NORTH CENTRAL__NORTH CENTRAL,-0.005996354521117159,0.013036217632005041,-0.45997655841488794,0.6455330465060185,0.01790358018918181,1800,16,1
spec_d_line_relief,upgrade_line,region_NORTH CENTRAL__SOUTH CENTRAL,-0.015407896600582949,0.012501024402594506,-1.2325307194332922,0.21775089867161412,0.01790358018918181,1800,16,1
spec_d_line_relief,upgrade_line,region_NORTH CENTRAL__WEST,-0.016084343514936345,0.01184680803603459,-1.357694280688299,0.17456071235310722,0.01790358018918181,1800,16,1
spec_d_line_relief,upgrade_line,region_NORTH__NORTH,-0.018187032866941497,0.01261342539889576,-1.441878973536695,0.1493365188499225,0.01790358018918181,1800,16,1
spec_d_line_relief,upgrade_line,region_NORTH__NORTH CENTRAL,-0.018052648149102957,0.011681287466658344,-1.5454330869461312,0.122241542323976,0.01790358018918181,1800,16,1
spec_d_line_relief,upgrade_line,region_NORTH__WEST,-0.020537263878858583,0.011755584628540055,-1.7470219072727768,0.08063353810000606,0.01790358018918181,1800,16,1
spec_d_line_relief,upgrade_line,region_SOUTH CENTRAL__SOUTH CENTRAL,-0.004154112189011655,0.01433641715923743,-0.28975943869874227,0.7720002804258024,0.01790358018918181,1800,16,1
spec_d_line_relief,upgrade_line,region_SOUTH CENTRAL__WEST,-0.015487875134991558,0.011473868230407573,-1.3498390276041543,0.17706762306232493,0.01790358018918181,1800,16,1
spec_d_line_relief,upgrade_line,region_SOUTH__SOUTH,0.012271354132583429,0.019274796077200642,0.6366528643640855,0.5243509826935748,0.01790358018918181,1800,16,1
spec_d_line_relief,upgrade_line,region_SOUTH__SOUTH CENTRAL,0.009064029035484242,0.02768141360523956,0.3274409741043209,0.7433343801094268,0.01790358018918181,1800,16,1
spec_d_line_relief,upgrade_line,region_UNKNOWN,-0.016147507572913472,0.012526144122677281,-1.2891044055353067,0.19736179217549932,0.01790358018918181,1800,16,1
spec_d_line_relief,upgrade_line,region_WEST__WEST,-0.006611922920859242,0.014862722752089197,-0.4448661951882154,0.6564164536052339,0.01790358018918181,1800,16,1
spec_d_line_relief,upgrade_line,year_2020,0.00047993896222487537,0.004722736802466689,0.10162305931895312,0.919055875513296,0.01790358018918181,1800,16,1
spec_d_line_relief,upgrade_line,year_2021,0.007673476235264674,0.006674487732932743,1.1496726853512367,0.25027870856240475,0.01790358018918181,1800,16,1
spec_d_line_relief,upgrade_line,year_2022,0.002590064594034977,0.005325235242194806,0.4863756202754109,0.6267008727100347,0.01790358018918181,1800,16,1
spec_d_line_relief,upgrade_line,year_2023,0.009613419739399214,0.006556621456899722,1.4662154590734735,0.14258959836520502,0.01790358018918181,1800,16,1
spec_d_line_relief,upgrade_line,year_2024,0.022305696433007574,0.009416916464397448,2.368683689330659,0.017851513345833903,0.01790358018918181,1800,16,1
