corridor_id,county_k1,county_k2,n_lines,avg_length_km,max_effective_voltage_kv,year,allocated_shadow_cost_total,allocated_n_binding_total,allocated_n_intervals_total,n_constraints_exposed_year,binding_share_corridor_year,stressed_corridor_year,corridor_exposed_year
FORT BEND__WHARTON,FORT BEND,WHARTON,3,70.95148295509172,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
FRANKLIN__HOPKINS,FRANKLIN,HOPKINS,4,29.65691504035609,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
FRANKLIN__RED RIVER,FRANKLIN,RED RIVER,1,26.85483284917709,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
FRANKLIN__TITUS,FRANKLIN,TITUS,5,29.09649860212029,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
FREESTONE__LEON,FREESTONE,LEON,2,53.10464023033336,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
FREESTONE__LIMESTONE,FREESTONE,LIMESTONE,2,34.16490138946237,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
FREESTONE__NAVARRO,FREESTONE,NAVARRO,6,32.54226069977188,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
FRIO__MEDINA,FRIO,MEDINA,1,32.68379246584834,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
GAINES__YOAKUM,GAINES,YOAKUM,1,29.13612776982409,230.0,2018,0.0,0.0,0.0,0,0.0,0,0
GALVESTON__HARRIS,GALVESTON,HARRIS,2,40.513738541249,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
GILLESPIE__KERR,GILLESPIE,KERR,3,31.15711605933455,345.0,2018,25133.264112222223,558.4444444444445,1157.2222222222222,1,0.48257321171387424,1,1
GILLESPIE__KIMBLE,GILLESPIE,KIMBLE,3,31.15711605933455,345.0,2018,25133.264112222223,558.4444444444445,1157.2222222222222,1,0.48257321171387424,1,1
GLASSCOCK__HOWARD,GLASSCOCK,HOWARD,3,39.13959142004533,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
GLASSCOCK__MIDLAND,GLASSCOCK,MIDLAND,2,29.1871132250324,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
GLASSCOCK__STERLING,GLASSCOCK,STERLING,4,15.283598719885834,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
GOLIAD__KARNES,GOLIAD,KARNES,2,79.80722868336215,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
GOLIAD__VICTORIA,GOLIAD,VICTORIA,1,19.2082881149864,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
GONZALES__KARNES,GONZALES,KARNES,1,24.80010609342065,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
GRAY__ROBERTS,GRAY,ROBERTS,1,37.5975511083139,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
GRAY__WHEELER,GRAY,WHEELER,2,59.020527938977466,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
GRIMES__MADISON,GRIMES,MADISON,2,40.22114093039002,345.0,2018,25036.131586666666,109.0,218.33333333333334,2,0.499236641221374,1,1
GRIMES__MONTGOMERY,GRIMES,MONTGOMERY,2,47.9228288203872,345.0,2018,2.640736,1.4,38.6,1,0.03626943005181347,0,1
GRIMES__WALKER,GRIMES,WALKER,1,51.47864768557029,345.0,2018,37835.037876,532.4,939.3272727272727,6,0.5667886108046377,1,1
GRIMES__WALLER,GRIMES,WALLER,2,42.97385963324737,345.0,2018,12742.266549333333,418.4,681.9939393939394,3,0.6134951879071172,1,1
GUADALUPE__HAYS,GUADALUPE,HAYS,2,4.171486651546671,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
GUADALUPE__WILSON,GUADALUPE,WILSON,3,42.10601846464946,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
HALE__LAMB,HALE,LAMB,1,87.55215828651693,230.0,2018,0.0,0.0,0.0,0,0.0,0,0
HALE__LUBBOCK,HALE,LUBBOCK,3,44.59780412872908,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
HALE__SWISHER,HALE,SWISHER,1,63.6482953923557,230.0,2018,43411.607671,1466.0,3230.6,1,0.4537856744877113,1,1
HALL__MOTLEY,HALL,MOTLEY,1,42.41556627423594,345.0,2018,43411.607671,1466.0,3230.6,1,0.4537856744877113,1,1
HANSFORD__SHERMAN,HANSFORD,SHERMAN,1,55.0798032667401,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
HARDEMAN__WILBARGER,HARDEMAN,WILBARGER,1,52.8761393333068,345.0,2018,43411.607671,1466.0,3230.6,1,0.4537856744877113,1,1
HARDIN__JASPER,HARDIN,JASPER,1,25.69598936622254,500.0,2018,0.0,0.0,0.0,0,0.0,0,0
HARDIN__JEFFERSON,HARDIN,JEFFERSON,2,23.741631434409456,230.0,2018,0.0,0.0,0.0,0,0.0,0,0
HARDIN__LIBERTY,HARDIN,LIBERTY,1,26.491135574419253,230.0,2018,0.0,0.0,0.0,0,0.0,0,0
HARRISON__MARION,HARRISON,MARION,2,33.43438979725412,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
HARRISON__PANOLA,HARRISON,PANOLA,1,24.75128811582688,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
HARRISON__UPSHUR,HARRISON,UPSHUR,2,12.77930339877826,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
HARRIS__LIBERTY,HARRIS,LIBERTY,2,22.478206391259278,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
HARRIS__MONTGOMERY,HARRIS,MONTGOMERY,2,47.9228288203872,345.0,2018,2.640736,1.4,38.6,1,0.03626943005181347,0,1
HARRIS__WALLER,HARRIS,WALLER,2,42.97385963324737,345.0,2018,12742.266549333333,418.4,681.9939393939394,3,0.6134951879071172,1,1
HASKELL__JONES,HASKELL,JONES,6,34.59564771206912,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
HASKELL__KNOX,HASKELL,KNOX,3,56.63059865310076,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
HASKELL__STONEWALL,HASKELL,STONEWALL,1,63.83102444174045,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
HASKELL__THROCKMORTON,HASKELL,THROCKMORTON,3,43.03415247012922,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
HAYS__TRAVIS,HAYS,TRAVIS,2,35.34405049940318,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
HENDERSON__KAUFMAN,HENDERSON,KAUFMAN,2,37.04074198551679,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
HENDERSON__NAVARRO,HENDERSON,NAVARRO,2,13.341158103673587,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
HENDERSON__SMITH,HENDERSON,SMITH,2,46.3322574581952,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
